date,snow_depth_m
1970-11-14,0
1970-12-06,0.35
1970-12-13,0.35
1970-12-20,0.33
1970-12-30,0.53
1971-01-13,0.62
1971-01-20,0.6
1971-02-02,0.69
1971-02-18,0.67
1971-02-21,0.65
1971-02-24,0.66
1971-02-27,0.66
1971-03-03,0.61
1971-03-06,0.6
1971-03-09,0.69
1971-03-12,0.66
1971-03-15,0.75
1971-03-18,0.76
1971-03-21,0.75
1971-03-24,0.69
1971-03-27,0.82
1971-03-30,0.86
1971-04-03,0.81
1971-04-06,1
1971-04-09,1.15
1971-04-10,1.35
1971-04-12,1.26
1971-04-15,1.18
1971-04-18,1.14
1971-04-21,1.04
1971-04-24,1.06
1971-04-27,1.05
1971-04-30,1.03
1971-05-03,1.01
1971-05-06,0.98
1971-05-09,0.94
1971-05-12,0.8
1971-05-15,0.61
1971-05-18,0.43
1971-05-21,0.29
1971-05-24,0.1
1971-05-26,0
